-22.41684,-45.45188
-22.41709,-45.45192
-22.41762,-45.452
-22.41849,-45.45216
-22.41859,-45.45217
-22.41874,-45.4522
-22.41894,-45.45224
-22.41963,-45.45234
-22.42005,-45.45241
-22.42019,-45.45244
-22.42024,-45.45245
-22.42026,-45.45246
-22.42028,-45.45249
-22.42029,-45.45255
-22.4203,-45.45259
-22.42029,-45.45265
-22.42023,-45.45303
-22.42018,-45.45334
-22.42014,-45.45365
-22.42019,-45.45366
-22.42114,-45.45382
-22.42146,-45.45387
-22.42169,-45.45391
-22.42186,-45.45393
-22.42204,-45.45396
-22.42224,-45.45398
-22.42244,-45.454
-22.42261,-45.45403
-22.42278,-45.45405
-22.42283,-45.45364
-22.42286,-45.45343
-22.42289,-45.45308
-22.42296,-45.45245
-22.423,-45.45208
-22.42302,-45.45182
-22.42304,-45.45163
-22.42306,-45.45144
-22.42307,-45.45136
-22.42314,-45.45059
-22.4238,-45.45075
-22.4239,-45.45078
-22.42395,-45.4508
-22.4241,-45.45084
-22.42442,-45.45094
-22.42539,-45.45121
-22.42532,-45.45145
-22.42529,-45.45154
-22.42527,-45.45161
-22.42526,-45.45173
-22.42524,-45.45188
-22.42523,-45.45202
-22.42523,-45.45212
-22.42523,-45.45217
-22.42524,-45.45232
-22.42524,-45.45248
-22.42525,-45.45264
-22.42524,-45.45276
-22.42523,-45.45285
